Mistnost - vlevo nahoru vpravo dolu
Start - null null null Obchod1
Finish - Fight11 null null null
Obchod1 - null Start Fight01 Treassure1
Obchod2 - Fight04 null Fight08 null
Obchod3 - Empty02 null Fight10 null
Obchod4 - Treassure4 null null Fight11
Treassure1 - null Obchod1 null null
Treassure2 - Fight03 null null null
Treassure3 - null null Fight07 null
Treassure4 - null Fight08 Obchod4 Fight09
Empty01 - Fight05 Fight04 null Fight06
Empty02 - Fight07 Fight06 Obchod3 null
Fight01 - Obchod1 null Fight02 null
Fight02 - Fight01 Fight03 Fight04 Fight05
Fight03 - null null Treassure2 Fight02
Fight04 - Fight02 null Obchod2 Empty1
Fight05 - null Fight02 Empty1 null
Fight06 - null Empty1 null Empty2
Fight07 - Treassure3 null Empty2 null
Fight08 - Obchod2 null null Treassure4
Fight09 - null Treassure4 null Fight10
Fight10 - Obchod3 Fight09 null null
Fight11 - null Obchod4 Finish null
